epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01866,3.09751,3.96165,1.34397,0.00167,0.08333,0.00095,0.00021,2.54943,3.95136,1.15357,2e-05,2e-05,2e-05
2,1.48916,3.15058,4.08219,1.29067,0.00167,0.08333,0.00097,0.00022,2.6197,3.94704,1.16575,4.812e-05,4.812e-05,4.812e-05
3,1.93326,2.88402,3.90426,1.25708,0.00111,0.05556,0.00062,0.00012,2.06233,3.83871,0.99418,6.04e-05,6.04e-05,6.04e-05
4,2.34099,2.30837,3.85227,1.02153,0.00333,0.16667,0.00199,0.00063,1.6095,3.77138,0.88997,5.684e-05,5.684e-05,5.684e-05
5,2.77658,1.75201,3.84052,0.94433,0.00556,0.27778,0.00357,0.00217,1.26934,3.68461,0.83873,3.744e-05,3.744e-05,3.744e-05
