epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.187246,3.09751,3.96165,1.34397,0.00167,0.08333,0.00095,0.00021,2.54943,3.95136,1.15357,2e-05,2e-05,2e-05
2,40.8224,3.15058,4.08219,1.29067,0.00167,0.08333,0.00097,0.00022,2.6197,3.94704,1.16575,5.9406e-05,5.9406e-05,5.9406e-05
3,41.2591,2.88402,3.90426,1.25708,0.00111,0.05556,0.0006,0.00027,1.77373,3.80559,0.92938,9.802e-05,9.802e-05,9.802e-05
4,41.6913,1.93831,3.78709,0.95511,0.00778,0.38889,0.00544,0.00266,1.2159,3.67694,0.82538,0.000135842,0.000135842,0.000135842
5,42.1403,1.58761,3.64016,0.88653,0.01444,0.72222,0.01328,0.00761,1.45452,3.69739,0.82482,0.000172872,0.000172872,0.000172872
6,42.602,1.51934,3.13309,0.83513,0.01389,0.69444,0.01596,0.00895,1.34058,3.69757,0.80305,0.00020911,0.00020911,0.00020911
7,43.0356,1.52034,2.84345,0.84432,0.01167,0.58333,0.01245,0.00679,1.12814,3.7322,0.79056,0.000244556,0.000244556,0.000244556
8,43.467,1.48823,2.084,0.89157,0.01167,0.58333,0.01673,0.00938,1.1126,3.68051,0.7896,0.00027921,0.00027921,0.00027921
9,43.9095,1.57214,1.80111,0.91202,0.01333,0.66667,0.01957,0.0111,1.19128,3.66624,0.80627,0.000313072,0.000313072,0.000313072
10,44.3324,1.5807,1.62157,0.87886,0.01556,0.77778,0.02449,0.01485,1.22139,3.61864,0.81213,0.000346142,0.000346142,0.000346142
11,44.7485,1.58736,1.55981,0.85272,0.01722,0.86111,0.03287,0.01762,1.19158,3.59482,0.80701,0.00037842,0.00037842,0.00037842
12,45.1875,1.37108,1.37685,0.87004,0.01778,0.88889,0.03591,0.01814,1.14965,3.56269,0.80016,0.000409906,0.000409906,0.000409906
13,45.6064,1.40555,1.36435,0.83508,0.01833,0.91667,0.03697,0.02032,1.22549,3.5227,0.80566,0.0004406,0.0004406,0.0004406
14,46.0375,1.44931,1.32678,0.89437,0.01778,0.88889,0.03602,0.01971,1.21045,3.50423,0.80647,0.000470502,0.000470502,0.000470502
15,46.4737,1.24973,1.20264,0.83479,0.01611,0.80556,0.02994,0.01658,1.06793,3.53258,0.7946,0.000499612,0.000499612,0.000499612
16,46.9237,1.24995,1.15441,0.85489,0.01444,0.72222,0.02425,0.01357,1.18171,3.54526,0.81057,0.00052793,0.00052793,0.00052793
17,47.3608,1.30656,1.16065,0.84888,0.01444,0.72222,0.02315,0.01385,1.17533,3.5101,0.80408,0.000555456,0.000555456,0.000555456
18,47.7955,1.28001,1.22752,0.86508,0.01556,0.77778,0.02531,0.01472,1.09733,3.46133,0.79793,0.00058219,0.00058219,0.00058219
19,48.2189,1.28852,1.2799,0.83789,0.01722,0.86111,0.03045,0.01584,1.14136,3.42397,0.80606,0.000608132,0.000608132,0.000608132
20,48.6528,1.23768,1.09127,0.85434,0.01722,0.86111,0.03058,0.01632,1.14169,3.39299,0.80145,0.000633282,0.000633282,0.000633282
21,49.0731,1.29745,1.20916,0.84022,0.01833,0.91667,0.03289,0.01747,1.10861,3.35316,0.79232,0.00065764,0.00065764,0.00065764
22,49.5022,1.2721,1.07209,0.84109,0.01889,0.94444,0.03353,0.01877,1.11168,3.31434,0.79881,0.000681206,0.000681206,0.000681206
23,49.9218,1.16149,0.99163,0.82837,0.01833,0.91667,0.0306,0.01787,1.09564,3.28771,0.80031,0.00070398,0.00070398,0.00070398
24,50.3576,1.32733,1.09081,0.81672,0.01833,0.91667,0.02919,0.01736,1.07079,3.28034,0.79971,0.000725962,0.000725962,0.000725962
25,50.7771,1.17016,0.98312,0.84486,0.01833,0.91667,0.03051,0.01717,1.05073,3.28381,0.79749,0.000747152,0.000747152,0.000747152
26,51.2063,1.11333,1.13729,0.85809,0.01833,0.91667,0.02936,0.01625,1.04966,3.31717,0.79198,0.00076755,0.00076755,0.00076755
27,51.6331,1.33906,1.11053,0.82751,0.01833,0.91667,0.02947,0.01694,1.03869,3.30844,0.78755,0.000787156,0.000787156,0.000787156
28,52.0447,1.18121,1.00153,0.83459,0.01833,0.91667,0.02947,0.01694,1.03869,3.30844,0.78755,0.00080597,0.00080597,0.00080597
29,52.4544,1.18878,0.96912,0.83472,0.01944,0.97222,0.03268,0.02079,0.98597,3.23144,0.77809,0.000823992,0.000823992,0.000823992
30,52.8916,1.12489,0.95755,0.81823,0.02,1,0.03438,0.02128,0.98661,3.13525,0.77437,0.000841222,0.000841222,0.000841222
31,53.3223,1.06793,0.96477,0.8052,0.02,1,0.03438,0.02128,0.98661,3.13525,0.77437,0.00085766,0.00085766,0.00085766
32,53.741,1.21875,0.94109,0.84393,0.02,1,0.03274,0.01964,1.01359,3.00547,0.77471,0.000873306,0.000873306,0.000873306
33,54.1657,1.11411,0.89161,0.81539,0.01944,0.97222,0.06688,0.04399,1.0584,2.82447,0.78636,0.00088816,0.00088816,0.00088816
34,54.5977,1.22616,0.9242,0.82068,0.01944,0.97222,0.06688,0.04399,1.0584,2.82447,0.78636,0.000902222,0.000902222,0.000902222
35,55.0236,1.17649,0.9949,0.81269,0.01944,0.97222,0.41574,0.27423,1.06548,2.69989,0.78797,0.000915492,0.000915492,0.000915492
36,55.4479,1.00226,0.9311,0.83087,0.02,1,0.57074,0.38006,1.04308,2.60541,0.7823,0.00092797,0.00092797,0.00092797
37,55.8911,1.1334,0.89217,0.82849,0.02,1,0.57074,0.38006,1.04308,2.60541,0.7823,0.000939656,0.000939656,0.000939656
38,56.3349,1.12198,0.98545,0.8317,0.02,1,0.72701,0.50353,1.04737,2.58252,0.77853,0.00095055,0.00095055,0.00095055
39,56.7805,1.04739,0.92143,0.83526,0.01944,0.97222,0.85232,0.59127,1.05727,2.53513,0.78597,0.000960652,0.000960652,0.000960652
40,57.2137,1.18068,0.95441,0.81295,0.01944,0.97222,0.85232,0.59127,1.05727,2.53513,0.78597,0.000969962,0.000969962,0.000969962
41,57.6629,1.20999,0.88166,0.83632,0.02,1,0.91882,0.59397,1.15213,2.50123,0.79184,0.00097848,0.00097848,0.00097848
42,58.0825,1.18383,0.88742,0.8285,1,0.67168,0.94793,0.59736,1.12262,2.407,0.78776,0.000986206,0.000986206,0.000986206
43,58.5109,1.10558,0.83996,0.81466,1,0.67168,0.94793,0.59736,1.12262,2.407,0.78776,0.00099314,0.00099314,0.00099314
44,58.9374,1.11757,0.83257,0.8454,1,0.40058,0.995,0.61083,1.06613,2.14126,0.78533,0.000999282,0.000999282,0.000999282
45,59.3738,1.1805,0.83408,0.8227,1,0.40058,0.995,0.61083,1.06613,2.14126,0.78533,0.00100463,0.00100463,0.00100463
46,59.7988,1.15641,0.87108,0.80735,1,0.71202,0.995,0.64723,1.1121,1.93502,0.79069,0.00100919,0.00100919,0.00100919
47,60.2357,1.19759,0.99117,0.82217,1,0.71202,0.995,0.64723,1.1121,1.93502,0.79069,0.00101296,0.00101296,0.00101296
48,60.6835,1.11982,0.84451,0.82765,1,0.74595,0.995,0.61701,1.15131,1.85933,0.79872,0.00101593,0.00101593,0.00101593
49,61.1178,1.06607,0.87518,0.80318,1,0.74595,0.995,0.61701,1.15131,1.85933,0.79872,0.00101811,0.00101811,0.00101811
50,61.5521,1.01184,0.83635,0.82634,1,0.78635,0.995,0.60122,1.11983,1.79215,0.79484,0.0010195,0.0010195,0.0010195
51,61.9897,1.04321,0.85058,0.83725,1,0.78635,0.995,0.60122,1.11983,1.79215,0.79484,0.00101,0.00101,0.00101
52,62.4054,1.04957,0.81499,0.83417,1,0.87364,0.99446,0.63754,1.03847,1.7183,0.78959,0.0009902,0.0009902,0.0009902
53,62.8326,1.00201,0.80718,0.80525,1,0.87364,0.99446,0.63754,1.03847,1.7183,0.78959,0.0009704,0.0009704,0.0009704
54,63.2656,1.00639,0.81668,0.8103,1,0.95334,0.99395,0.6785,1.07332,1.5392,0.79175,0.0009506,0.0009506,0.0009506
55,63.675,1.13839,0.97203,0.85347,1,0.95334,0.99395,0.6785,1.07332,1.5392,0.79175,0.0009308,0.0009308,0.0009308
56,64.1176,1.00707,0.87227,0.82562,0.99106,0.97222,0.99446,0.72285,1.05002,1.43893,0.79114,0.000911,0.000911,0.000911
57,64.5548,1.11527,0.88919,0.83096,0.99106,0.97222,0.99446,0.72285,1.05002,1.43893,0.79114,0.0008912,0.0008912,0.0008912
58,65.0024,0.98464,0.79899,0.81749,0.98458,0.97222,0.99395,0.71806,1.02873,1.39042,0.79003,0.0008714,0.0008714,0.0008714
59,65.4232,1.02549,0.80891,0.84244,0.98458,0.97222,0.99395,0.71806,1.02873,1.39042,0.79003,0.0008516,0.0008516,0.0008516
60,65.8439,1.00722,0.79873,0.8313,1,0.99053,0.995,0.70348,1.05291,1.33448,0.79563,0.0008318,0.0008318,0.0008318
61,66.274,0.91123,0.78786,0.79876,1,0.99053,0.995,0.70348,1.05291,1.33448,0.79563,0.000812,0.000812,0.000812
62,66.6862,1.00457,0.79047,0.83353,1,0.99605,0.995,0.71867,1.00641,1.16536,0.78995,0.0007922,0.0007922,0.0007922
63,67.088,0.93225,0.73286,0.84037,1,0.99605,0.995,0.71867,1.00641,1.16536,0.78995,0.0007724,0.0007724,0.0007724
64,67.507,0.95974,0.77443,0.81908,1,0.99927,0.995,0.71796,0.99579,1.03351,0.78537,0.0007526,0.0007526,0.0007526
65,67.9115,0.92357,0.83264,0.82897,1,0.99927,0.995,0.71796,0.99579,1.03351,0.78537,0.0007328,0.0007328,0.0007328
66,68.3487,1.14849,0.81642,0.80234,0.99796,1,0.995,0.71003,1.04796,0.93382,0.7879,0.000713,0.000713,0.000713
67,68.7674,1.08439,0.76409,0.83049,0.99796,1,0.995,0.71003,1.04796,0.93382,0.7879,0.0006932,0.0006932,0.0006932
68,69.2189,1.06136,0.77415,0.81218,0.99827,1,0.995,0.70315,1.03068,0.85147,0.78714,0.0006734,0.0006734,0.0006734
69,69.6513,1.02176,0.79282,0.82486,0.99827,1,0.995,0.70315,1.03068,0.85147,0.78714,0.0006536,0.0006536,0.0006536
70,70.0744,1.02724,0.71933,0.83906,0.99799,1,0.995,0.66956,1.03576,0.80423,0.79095,0.0006338,0.0006338,0.0006338
71,70.4894,1.03534,0.78937,0.82113,0.99799,1,0.995,0.66956,1.03576,0.80423,0.79095,0.000614,0.000614,0.000614
72,70.9374,0.97293,0.71537,0.81205,0.99711,1,0.995,0.69911,1.03143,0.77323,0.79247,0.0005942,0.0005942,0.0005942
73,71.3692,0.95127,0.73575,0.81678,0.99711,1,0.995,0.69911,1.03143,0.77323,0.79247,0.0005744,0.0005744,0.0005744
74,71.8103,1.03069,0.73322,0.83737,0.99614,1,0.995,0.71207,1.02563,0.76223,0.7894,0.0005546,0.0005546,0.0005546
75,72.2391,0.96201,0.79235,0.79576,0.99614,1,0.995,0.71207,1.02563,0.76223,0.7894,0.0005348,0.0005348,0.0005348
76,72.6702,1.00767,0.74467,0.82779,0.99652,1,0.995,0.70003,1.03182,0.75439,0.79221,0.000515,0.000515,0.000515
77,73.0921,0.94248,0.74786,0.83958,0.99652,1,0.995,0.70003,1.03182,0.75439,0.79221,0.0004952,0.0004952,0.0004952
78,73.5374,0.93989,0.76706,0.81917,0.99747,1,0.995,0.70212,1.01571,0.72381,0.79337,0.0004754,0.0004754,0.0004754
79,73.9391,1.00954,0.73965,0.80671,0.99747,1,0.995,0.70212,1.01571,0.72381,0.79337,0.0004556,0.0004556,0.0004556
80,74.3803,1.06782,0.75445,0.81046,0.99829,1,0.995,0.71254,1.02826,0.69088,0.79312,0.0004358,0.0004358,0.0004358
81,74.8115,1.0097,0.72879,0.82216,0.99829,1,0.995,0.71254,1.02826,0.69088,0.79312,0.000416,0.000416,0.000416
82,75.2521,0.93917,0.71124,0.81867,0.99839,1,0.995,0.72197,1.0166,0.67303,0.79237,0.0003962,0.0003962,0.0003962
83,75.6799,0.89287,0.68957,0.81011,0.99839,1,0.995,0.72197,1.0166,0.67303,0.79237,0.0003764,0.0003764,0.0003764
84,76.1322,0.98085,0.7661,0.83276,0.99863,1,0.995,0.72224,1.01333,0.6604,0.79135,0.0003566,0.0003566,0.0003566
85,76.5392,0.90198,0.70766,0.80315,0.99863,1,0.995,0.72224,1.01333,0.6604,0.79135,0.0003368,0.0003368,0.0003368
86,76.9638,0.88765,0.7452,0.82969,0.99894,1,0.995,0.72852,1.01277,0.62871,0.78874,0.000317,0.000317,0.000317
87,77.3993,0.88819,0.68729,0.80511,0.99894,1,0.995,0.72852,1.01277,0.62871,0.78874,0.0002972,0.0002972,0.0002972
88,77.8244,0.99617,0.70349,0.83333,0.99928,1,0.995,0.73041,0.99342,0.60893,0.78608,0.0002774,0.0002774,0.0002774
89,78.2568,0.83449,0.73155,0.79954,0.99928,1,0.995,0.73041,0.99342,0.60893,0.78608,0.0002576,0.0002576,0.0002576
90,78.7029,0.86178,0.66392,0.79888,0.99951,1,0.995,0.72666,0.94809,0.58221,0.78153,0.0002378,0.0002378,0.0002378
91,79.4795,0.87572,0.67707,0.81071,0.99951,1,0.995,0.72666,0.94809,0.58221,0.78153,0.000218,0.000218,0.000218
92,79.9664,0.85299,0.66087,0.79435,0.99962,1,0.995,0.74407,0.93246,0.56923,0.7821,0.0001982,0.0001982,0.0001982
93,80.3813,0.95776,0.76347,0.81938,0.99962,1,0.995,0.74407,0.93246,0.56923,0.7821,0.0001784,0.0001784,0.0001784
94,80.8013,0.89076,0.68485,0.85518,0.99962,1,0.995,0.73606,0.92931,0.55773,0.78353,0.0001586,0.0001586,0.0001586
95,81.2048,0.88153,0.73172,0.80007,0.99962,1,0.995,0.73606,0.92931,0.55773,0.78353,0.0001388,0.0001388,0.0001388
96,81.6181,0.80765,0.65245,0.81908,0.99976,1,0.995,0.73793,0.93769,0.56051,0.78307,0.000119,0.000119,0.000119
97,82.0449,0.81528,0.66026,0.81914,0.99976,1,0.995,0.73793,0.93769,0.56051,0.78307,9.92e-05,9.92e-05,9.92e-05
98,82.4719,0.92739,0.78466,0.79978,0.99981,1,0.995,0.73885,0.94528,0.56386,0.78167,7.94e-05,7.94e-05,7.94e-05
99,82.8748,0.91129,0.7251,0.78888,0.99981,1,0.995,0.73885,0.94528,0.56386,0.78167,5.96e-05,5.96e-05,5.96e-05
100,83.3038,0.85567,0.71483,0.81529,0.99986,1,0.995,0.7392,0.95521,0.56424,0.78128,3.98e-05,3.98e-05,3.98e-05
